feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
Ncf4,Null,0.8247064203285106,0.10113109208335891,128391.5,0.5447011157778626,0.015480682794383789,0.4602153259822105,82.3045267489712,77.7319587628866,Recruited macrophage,0.33703892265417584,FALSE
Csf2rb2,Null,0.41969885122164,0.03435748500626834,123042.5,0.5220079759025922,0.2133707466068508,1,56.17283950617284,54.22680412371134,Recruited macrophage,-0,FALSE
Csf2rb,Null,0.9719803536938105,0.08480796954418524,128430,0.5448644520809469,0.015206021980201179,0.4558701850666444,81.48148148148148,82.06185567010309,Recruited macrophage,0.34115881070318055,FALSE
Tex33,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm49481,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Tst,Null,0.12800257930331002,2.5562618910068835e-5,118104,0.5010563828433244,0.9379452995870928,1,22.633744855967077,22.268041237113405,Recruited macrophage,-0,FALSE
Mpst,Null,0.11329263950628693,-0.01338939038708678,113763,0.4826396843578974,0.20146160047726633,1,20.781893004115226,24.536082474226802,Recruited macrophage,-0,FALSE
Gm36644,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Kctd17,Null,0.07680171645051793,-0.01884894713934973,113799.5,0.4827945356582241,0.1529579301741089,1,15.020576131687244,18.350515463917525,Recruited macrophage,-0,FALSE
Tmprss6,Null,4.266487754316666e-4,4.266487754316666e-4,118097.5,0.5010288065843621,0.31880774568515696,1,0.205761316872428,0,Recruited macrophage,-0,FALSE
Il2rb,Null,0.0342328948018413,-0.0135332631108298,115913,0.49176106232234523,0.29440484604880873,1,5.555555555555555,7.216494845360824,Recruited macrophage,-0,FALSE
C1qtnf6,Null,0.005246320441189872,-0.005882140771329095,116149,0.4927622926477451,0.10376290428297712,1,1.2345679012345678,2.6804123711340204,Recruited macrophage,-0,FALSE
Gm49490,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Sstr3,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Rac2,Null,0.943826112916293,0.06747924649769488,126365.5,0.5361058079843876,0.05091267570440278,0.8033107495363954,83.1275720164609,83.29896907216495,Recruited macrophage,0.09511642146793638,FALSE
Gm36738,Null,0.10707713922542196,-0.006783231917833338,116852,0.4957447711170506,0.7404357565697686,1,19.1358024691358,20,Recruited macrophage,-0,FALSE
Cyth4,Null,0.7547265917987407,-0.08569270811400498,106565.5,0.45210428068389125,0.009541980451007286,0.3438201326571096,79.01234567901234,83.71134020618557,Recruited macrophage,0.4636686964509081,FALSE
Elfn2,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
1700041B01Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mfng,Null,0.0718605987325391,0.009142125941744905,119468.5,0.5068452759747147,0.49708117520820205,1,11.728395061728394,10.309278350515463,Recruited macrophage,-0,FALSE
Card10,Null,8.883834698108268e-4,3.772084567321084e-4,117855,0.5,1,1,0.205761316872428,0.2061855670103093,Recruited macrophage,-0,FALSE
Cdc42ep1,Null,0.001817293954613881,-0.002625160383255662,117367,0.4979296593271393,0.41109017268645687,1,0.411522633744856,0.8247422680412372,Recruited macrophage,-0,FALSE
Lgals2,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm26634,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gga1,Null,0.24614934594884053,0.01613768842552496,119099,0.5052776717152433,0.7449364222758392,1,38.477366255144034,38.144329896907216,Recruited macrophage,-0,FALSE
Sh3bp1,Null,0.40370913217552673,0.06692152495930409,126499.5,0.5366743031691485,0.0354160931341455,0.6896312224583158,54.11522633744856,48.45360824742268,Recruited macrophage,0.16138308443044258,FALSE
1700027A07Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Pdxp,Null,0.016447269673621444,0.008146357906744494,119308,0.5061643545034152,0.1971838070706052,1,2.880658436213992,1.6494845360824744,Recruited macrophage,-0,FALSE
Lgals1,Null,1.1682995803474578,-0.10664015683907269,110175,0.46741758941071654,0.0779822114304829,0.9778040362320066,81.27572016460906,83.09278350515464,Recruited macrophage,0.009748174364400163,FALSE
Nol12,Null,0.20378800371921843,-0.005736621364883898,114905,0.4874846209325018,0.42767659946886866,1,33.33333333333333,36.49484536082474,Recruited macrophage,-0,FALSE
Triobp,Null,0.2036708103632414,0.026845562807169793,122065,0.5178609308048026,0.2457335884623002,1,33.53909465020576,30.927835051546392,Recruited macrophage,-0,FALSE
Gm10865,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm17753,Null,0,-0.001928433962707619,117369,0.4979381443298969,0.1570851794292071,1,0,0.4123711340206186,Recruited macrophage,-0,FALSE
Gm49544,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
H1f0,Null,0.089354506947324,-0.05147454965576764,108372,0.45976835942471683,0.001399856232255548,0.10318346679993234,14.609053497942387,22.68041237113402,Recruited macrophage,0.9863898846155782,FALSE
