gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,padj,neglogp,sig
Bicd1,0.6693550751471834,0.007655710459606606,0.02,0.024,1,0.875583718559161,0.05770232271586395,FALSE
Phf11c,0.6693550751471834,-0.002759247126585711,0.02,0.024,1,0.875583718559161,0.05770232271586395,FALSE
Tomm34,0.669436348087634,-0.017562533310071793,0.394,0.37,1,0.8756216985286711,0.0576834848445066,FALSE
Rnf217,0.6695038773851556,-0.008702626707767808,0.124,0.115,1,0.8756416973103914,0.05767356587907063,FALSE
Ube2b,0.6696593061229492,-0.020369963978859706,0.772,0.749,1,0.8757766473615413,0.05760663947871493,FALSE
Gm44752,0.6700199519102771,-0.017545682481541643,0.026,0.03,1,0.8761799371134392,0.05740669557770379,FALSE
Smpd2,0.6701170050336704,-0.0048412373729880415,0.128,0.136,1,0.8761907512577098,0.05740133538397941,FALSE
Gm48960,0.6701399947702886,0.010409301854226179,0.026,0.022,1,0.8761907512577098,0.05740133538397941,FALSE
Shc1,0.6701850388900548,-0.0036515309844621924,0.254,0.273,1,0.8761907512577098,0.05740133538397941,FALSE
Poglut3,0.6703660026669773,-0.0029732268596445732,0.073,0.081,1,0.8763508178808935,0.0573220036835473,FALSE
Lonrf3,0.670566352074459,0.007289910041579577,0.039,0.045,1,0.8763508178808935,0.0573220036835473,FALSE
Foxk2,0.6705673865743222,0.010161304306490287,0.179,0.168,1,0.8763508178808935,0.0573220036835473,FALSE
Mpc1,0.6705762683421426,-0.004977533263042844,0.913,0.895,1,0.8763508178808935,0.0573220036835473,FALSE
Cacna1s,0.670593457409389,-0.0015930262794605944,0.024,0.02,1,0.8763508178808935,0.0573220036835473,FALSE
Cd37,0.6706211634028291,-0.009392699725578768,0.65,0.626,1,0.8763508178808935,0.0573220036835473,FALSE
Zfand4,0.6707335749994476,-0.005476739705820469,0.022,0.026,1,0.8764293876006191,0.05728306851570637,FALSE
Fn1,0.6710291315984069,0.14608065121656771,0.167,0.16,1,0.8767472370295812,0.05712559407457193,FALSE
Prdm4,0.671100060536991,-0.0033433221016024306,0.098,0.107,1,0.8767715677880783,0.05711354206335033,FALSE
Gm20712,0.6712129845605654,-0.00433515985523629,0.02,0.024,1,0.8768507557637126,0.05707431936367027,FALSE
Tmem41b,0.6715870419576848,0.014564320862948399,0.272,0.253,1,0.8772501603204026,0.056876543743779,FALSE
Pou5f2,0.6716635740726753,0.005091614626541327,0.053,0.047,1,0.8772501603204026,0.056876543743779,FALSE
Insig1,0.6716936435526402,-0.019735780089262744,0.238,0.219,1,0.8772501603204026,0.056876543743779,FALSE
Vps51,0.6717334320247703,-0.01570201796697898,0.167,0.176,1,0.8772501603204026,0.056876543743779,FALSE
Tmem108,0.6718327352364281,6.034041002713222e-4,0.024,0.02,1,0.8772501603204026,0.056876543743779,FALSE
Ehbp1,0.6718327352364281,0.0021819670655684673,0.024,0.02,1,0.8772501603204026,0.056876543743779,FALSE
Cyp4f18,0.6720488539215843,0.018103447269798956,0.665,0.636,1,0.8774640044737183,0.056770690222908884,FALSE
Tmem8,0.6722233517617415,0.0019731333316732533,0.073,0.065,1,0.8775447029631629,0.056730750923987,FALSE
Acer3,0.6722590465387778,-0.007774190687609983,0.64,0.577,1,0.8775447029631629,0.056730750923987,FALSE
Dhx37,0.6723031407864091,0.0018902262057994904,0.049,0.043,1,0.8775447029631629,0.056730750923987,FALSE
Setd2,0.6723200737055803,0.014888605616248884,0.435,0.417,1,0.8775447029631629,0.056730750923987,FALSE
Camp,0.6725155477903331,-0.004726019409513234,0.022,0.026,1,0.8777314966955978,0.05663831705224351,FALSE
Rsl1d1,0.6726121164074985,-0.014517332825907614,0.48,0.496,1,0.8777891852399946,0.056609774162641145,FALSE
Hells,0.672787468910379,0.0015674707463403555,0.055,0.049,1,0.8779496733262571,0.05653037842548005,FALSE
Tug1,0.6728672864952573,-5.130697157773589e-4,0.248,0.237,1,0.8779854784550446,0.05651266709958895,FALSE
Wdr55,0.6729363793934628,0.003897610048757272,0.132,0.123,1,0.8780072850777009,0.05650188061335082,FALSE
Peak1os,0.6730729056933906,0.015214862497129163,0.02,0.024,1,0.8781158169486863,0.056448200102360166,FALSE
Fpgt,0.6731243367124252,0.00907153108628081,0.083,0.075,1,0.8781158169486863,0.056448200102360166,FALSE
Pgpep1,0.6731982601353451,-0.020335931375305927,0.219,0.208,1,0.8781439094465878,0.05643430646619785,FALSE
Mblac2,0.6733543461505124,0.009348472307614694,0.057,0.051,1,0.8782791650591306,0.056367419658409336,FALSE
Il15,0.673511351485168,-0.001466852845659894,0.136,0.126,1,0.8784155986301265,0.056299960759602606,FALSE
Gm43138,0.6736933247389447,0.0037916600942816923,0.024,0.02,1,0.8784783487629932,0.056268937786935716,FALSE
Zbtb7b,0.6737253082379946,-0.039476503833990206,0.276,0.283,1,0.8784783487629932,0.056268937786935716,FALSE
Kdm6b,0.6738209204722556,0.02645913197829075,0.222,0.235,1,0.8784783487629932,0.056268937786935716,FALSE
Tmem161b,0.6738300924360465,-0.006207096497026124,0.118,0.109,1,0.8784783487629932,0.056268937786935716,FALSE
Kansl3,0.6738704644801964,4.2064681692910444e-4,0.248,0.259,1,0.8784783487629932,0.056268937786935716,FALSE
Pdcd6ip,0.6738739176944617,-0.001128059794351266,0.724,0.751,1,0.8784783487629932,0.056268937786935716,FALSE
Limk1,0.6739619860431136,-0.0126124923056887,0.104,0.113,1,0.878524831639682,0.05624595859477627,FALSE
Naa40,0.6740162667588824,-0.0036474454892676256,0.226,0.215,1,0.8785272677614608,0.05624475431148135,FALSE
St14,0.6741866596753723,-0.01928005240852254,0.093,0.085,1,0.8786810348712067,0.05616874715020029,FALSE
Man1a,0.674249069830271,-0.023529963920945973,0.47,0.47,1,0.8786940529074018,0.05616231293894495,FALSE
Rrnad1,0.6743156616106908,-0.015656976425350758,0.104,0.111,1,0.8787125180687552,0.05615318662996674,FALSE
Hif1an,0.6745180976299326,-0.010665077402532294,0.102,0.111,1,0.87890798759895294,0.056056588600504345,FALSE
Zdhhc17,0.6746245573035647,0.0058760897570428045,0.144,0.134,1,0.8789783777320134,0.056021808142577345,FALSE
Gm14295,0.6749348286219333,0.002659302947776679,0.024,0.02,1,0.879156206736297,0.05593395348545568,FALSE
Timp3,0.6749348286219333,-3.203426503814917e-16,0.024,0.02,1,0.879156206736297,0.05593395348545568,FALSE
Rps6,0.6749376994706247,-0.010755114432662527,0.99,0.984,1,0.879156206736297,0.05593395348545568,FALSE
Tab1,0.6749708402630596,0.005257763182072425,0.053,0.047,1,0.879156206736297,0.05593395348545568,FALSE
Gemin7,0.6750418741845392,-0.030970457826028475,0.411,0.385,1,0.8791804114282242,0.05592199677132913,FALSE
Igfbp4,0.6751986259405073,-1.8370632303070687e-4,0.096,0.089,1,0.8793162433388845,0.055854904179229475,FALSE
Plk3,0.6753283188811865,0.009670624121741661,0.213,0.227,1,0.8794168179837204,0.05580523318107767,FALSE
Prkar2b,0.6756417486663753,0.0023040705168967807,0.108,0.101,1,0.8797566217001307,0.05563745565843713,FALSE
Tnfrsf23,0.6757986416277222,0.011743208656521849,0.053,0.047,1,0.87989256105048,0.055570353976549185,FALSE
Fbxo46,0.676126387220357,4.2724914991666696e-4,0.081,0.073,1,0.8802509128223398,0.05539351589310951,FALSE
Mfsd1,0.6762679915776343,0.036629952026691504,0.764,0.694,1,0.88036688993665,0.05533629936290527,FALSE
Coprs,0.6764548474113081,0.005151655302381708,0.132,0.123,1,0.8804873086234477,0.055276899588274794,FALSE
Asna1,0.6764655506772914,-0.008210557548042896,0.449,0.425,1,0.8804873086234477,0.055276899588274794,FALSE
Cep57,0.6766161316177788,0.0018539943438711237,0.252,0.265,1,0.8806149233773747,0.055213959024655195,FALSE
Etv5,0.6766774609525514,4.77872784135136e-4,0.067,0.061,1,0.880626366497412,0.05520831563675985,FALSE
Fam199x,0.6767641755065497,0.002149784515918615,0.085,0.077,1,0.8806708415372086,0.055186382638419636,FALSE
Tbck,0.6769049572083873,0.016997911840769597,0.213,0.204,1,0.880785661599673,0.05512976390327418,FALSE
Themis,0.6771830918325008,0,0.024,0.028,1,0.8810791729640906,0.05498506453176624,FALSE
2610035D17Rik,0.6774204892102578,0.002758970665336021,0.024,0.02,1,0.8813072681390153,0.05487264823751733,FALSE
Usp48,0.6774635574496607,-0.04382394683261709,0.26,0.269,1,0.8813072681390153,0.05487264823751733,FALSE
Mtmr6,0.6776946676601263,-0.018947074048769164,0.392,0.399,1,0.881496203928655,0.05477955360446385,FALSE
Enkur,0.6777562702649469,0.008371973660329256,0.028,0.024,1,0.881496203928655,0.05477955360446385,FALSE
Purb,0.6777665598515992,0.0045634842404510545,0.654,0.63,1,0.881496203928655,0.05477955360446385,FALSE
Fchsd1,0.6778724792853636,0.0066134673701704165,0.026,0.022,1,0.8815070079956867,0.054774230702426804,FALSE
Eif4h,0.6778800461200574,-0.04560001869526564,0.72,0.688,1,0.8815070079956867,0.054774230702426804,FALSE
Zfyve9,0.6779781953482729,-7.865958511816609e-4,0.087,0.079,1,0.8815662485786788,0.05474504546215168,FALSE
Dhrs13,0.678042454868157,0.001035658741213731,0.024,0.02,1,0.8815814170415799,0.05473757294029148,FALSE
Hadha,0.6784788689757818,0.007286335790193776,0.602,0.575,1,0.8820804158669088,0.05449182011165328,FALSE
Hmgxb4,0.6787578999575494,-0.025407489325299182,0.201,0.209,1,0.8823495808766704,0.05435931626669096,FALSE
Srp19,0.6788423909517687,-0.06791903588081472,0.657,0.652,1,0.8823495808766704,0.05435931626669096,FALSE
Gm37168,0.6788438250200179,-0.007702850459656074,0.022,0.018,1,0.8823495808766704,0.05435931626669096,FALSE
Atp1b1,0.678903186589239,-0.003887998501547852,0.024,0.028,1,0.8823583169426087,0.05435501637634052,FALSE
Galnt1,0.6789733472007344,0.022995721813465764,0.549,0.536,1,0.8823590654978616,0.054354647939537024,FALSE
Slc25a19,0.6790090434230351,0.012417088193015124,0.173,0.164,1,0.8823590654978616,0.054354647939537024,FALSE
Tmem143,0.679305527447337,0.012890361056119355,0.071,0.065,1,0.8826628445790823,0.05420515452051344,FALSE
Crip2,0.6793481301703103,0.0015106349554053567,0.057,0.051,1,0.8826628445790823,0.05420515452051344,FALSE
Rfx7,0.6794709577290017,0.01979369913679177,0.185,0.18,1,0.882693342508419,0.054190148956742665,FALSE
Col4a2,0.6794769238984686,1.0873281649578146e-9,0.024,0.028,1,0.882693342508419,0.054190148956742665,FALSE
Sidt1,0.6796617648634703,0,0.026,0.022,1,0.8828650420521923,0.054105679176198226,FALSE
Lsm11,0.6797622208586389,-0.004739579872649169,0.069,0.075,1,0.882927109339985,0.05407514842479025,FALSE
Rtl5,0.6800254300565972,-0.014503313993195821,0.065,0.071,1,0.883200546924584,0.05394067067663433,FALSE
Ccdc124,0.6801703280449614,-0.039981023079389555,0.614,0.581,1,0.8833202943123609,0.053881791518687834,FALSE
Ypel2,0.6805493385248289,0.0054007960323243995,0.057,0.051,1,0.8837440356641759,0.05367350421272725,FALSE
Ccnb2,0.6806249553521313,0,0.024,0.028,1,0.8837737626161922,0.05365889587187969,FALSE
Dnajc11,0.6809943113493457,-0.009016000438163113,0.201,0.19,1,0.8841848680741854,0.05345692187542372,FALSE
Snrnp25,0.681141294736625,0.002453327655512344,0.236,0.245,1,0.8843072095403383,0.053396834273770934,FALSE
Clic4,0.6812517227297108,-0.057441670422114344,0.801,0.789,1,0.8843820768583807,0.053360067541060825,FALSE
S1pr4,0.6813505947870391,0,0.057,0.051,1,0.8844376912252754,0.05333275779124833,FALSE
Mkrn1,0.6814471254179494,-0.0652821084736388,0.809,0.785,1,0.8844376912252754,0.05333275779124833,FALSE
Hs3st3b1,0.6814528565907667,0.0029509271816349734,0.026,0.022,1,0.8844376912252754,0.05333275779124833,FALSE
Casp1,0.6815407398840152,-0.049610786136365936,0.75,0.719,1,0.884440957432284,0.053331153955189045,FALSE
Clptm1,0.6815609024670573,0.013738734681887688,0.504,0.498,1,0.884440957432284,0.053331153955189045,FALSE
S1pr2,0.6817841365345675,-0.024322680003181052,0.313,0.32,1,0.8846621533203608,0.05322255185785718,FALSE
B4galt4,0.6820195918214262,-9.99634402322952e-4,0.047,0.053,1,0.8848397089332318,0.05313539577760143,FALSE
Acads,0.6820265504962031,-0.00656092786774487,0.309,0.33,1,0.8848397089332318,0.05313539577760143,FALSE
Actr6,0.682194967806357,0.013067663706165744,0.126,0.119,1,0.8849897105773668,0.053061778641665,FALSE
Set,0.6823223933419196,0.020266789522516593,0.852,0.84,1,0.8850865158022949,0.053014275630866865,FALSE
Zswim3,0.6824023385369415,0.0019238020164183411,0.024,0.02,1,0.8851217208509027,0.052997001551997575,FALSE
Dyrk1b,0.6826053163969448,-0.005707338375290041,0.045,0.051,1,0.8852746738813531,0.0529219599878847,FALSE
Aar2,0.6826948465634175,0.005406695571240294,0.146,0.136,1,0.8852746738813531,0.0529219599878847,FALSE
Ncr1,0.6827280057186055,1.7939188421363374e-14,0.03,0.026,1,0.8852746738813531,0.0529219599878847,FALSE
Naip6,0.6827622897336966,-0.009999973694212502,0.091,0.083,1,0.8852746738813531,0.0529219599878847,FALSE
Dgcr6,0.6827843326535099,-0.00901802130412721,0.228,0.241,1,0.8852746738813531,0.0529219599878847,FALSE
Mfsd9,0.68292323740979,-0.008615398478756829,0.024,0.028,1,0.8853178117140681,0.052900798119340106,FALSE
Sla2,0.68292323740979,-0.0011357977241286405,0.028,0.024,1,0.8853178117140681,0.052900798119340106,FALSE
Med13,0.6833128478562924,-0.0032369785951894547,0.407,0.397,1,0.8857093841838704,0.052708753902215355,FALSE
Leo1,0.6833309722148796,0.013865075809259747,0.211,0.204,1,0.8857093841838704,0.052708753902215355,FALSE
Exoc4,0.6834425446850363,0.006765565878943891,0.344,0.316,1,0.8857706525930646,0.05267871288398623,FALSE
Abi1,0.6834839291635066,0.027072069123976306,0.624,0.613,1,0.8857706525930646,0.05267871288398623,FALSE
Mapre3,0.6838228385341343,-0.005387101818454927,0.059,0.065,1,0.8861413544266842,0.052496995324103554,FALSE
Stoml1,0.6839278511524745,-0.011363700481676703,0.1,0.109,1,0.8862089240118874,0.052463880991830206,FALSE
Tnip3,0.6840710201874727,-0.011671992421546817,0.339,0.354,1,0.8862940935833971,0.052422144899316986,FALSE
Man1a2,0.6841302153580615,-0.07119260922413007,0.482,0.464,1,0.8862940935833971,0.052422144899316986,FALSE
Gm46224,0.6842625575536586,-0.07135304894170733,0.191,0.198,1,0.8862940935833971,0.052422144899316986,FALSE
Drg1,0.6843171954706346,-0.013294167766951526,0.423,0.403,1,0.8862940935833971,0.052422144899316986,FALSE
Tedc2,0.6844419990014916,1.9907542959394023e-4,0.026,0.022,1,0.8862940935833971,0.052422144899316986,FALSE
A130014A01Rik,0.6844537555586412,-0.008269484249910038,0.061,0.067,1,0.8862940935833971,0.052422144899316986,FALSE
Gabpa,0.6844542613927312,0.016608667568938848,0.157,0.148,1,0.8862940935833971,0.052422144899316986,FALSE
Srsf10,0.6844675423383685,0.006428804454114312,0.531,0.51,1,0.8862940935833971,0.052422144899316986,FALSE
Ier5,0.6844694571910914,0.03837038561280204,0.693,0.66,1,0.8862940935833971,0.052422144899316986,FALSE
