gene,mean_est_amb,n,total_umis
Kpnb1,5.0327237244130436e-5,0,15722
Kprp,0,0,0
Kptn,9.996623625079254e-6,0,3401
Kras,7.252417231392799e-5,0,28769
Krba1,4.626779491218171e-6,0,1572
Krcc1,8.48295281897727e-5,0,32213
Kremen1,7.86005320554527e-6,0,2412
Kremen2,1.823981653229344e-6,0,604
Kri1,2.4952598291094355e-5,0,7586
Krit1,9.913448820559282e-5,0,36715
Krr1,2.4065486140469156e-5,0,8075
Krt1,1.1222157884610816e-7,0,81
Krt10,9.46739404602181e-6,0,1923
Krt12,8.13646939723501e-8,0,0
Krt13,2.764614574972883e-7,0,64
Krt14,1.1222157884610816e-7,0,26
Krt15,1.1222157884610816e-7,0,51
Krt16,3.085688487375806e-8,0,1
Krt17,2.764614574972883e-7,0,31
Krt18,3.711219825873818e-6,0,1604
Krt19,5.054610286222746e-5,0,19889
Krt2,0,0,0
Krt20,6.122970461840299e-8,0,1
Krt222,1.5534319469513064e-6,0,421
Krt23,1.2984445950386732e-6,0,392
Krt24,6.122970461840299e-8,0,2
Krt25,0,0,0
Krt26,3.085688487375806e-8,0,0
Krt27,3.0372819744644937e-8,0,1
Krt28,6.122970461840299e-8,0,4
Krt31,3.085688487375806e-8,0,1
Krt32,6.122970461840299e-8,0,2
Krt33a,3.085688487375806e-8,0,1
Krt33b,0,0,0
Krt34,3.085688487375806e-8,0,1
Krt35,0,0,0
Krt36,0,0,0
Krt39,0,0,0
Krt4,1.1222157884610816e-7,0,62
Krt40,0,0,0
Krt42,0,0,0
Krt5,2.2457161347450744e-7,0,4
Krt6a,3.0372819744644937e-8,0,1
Krt6b,0,0,0
Krt7,3.2368978095827107e-6,0,957
Krt71,0,0,0
Krt72,0,0,0
Krt73,0,0,0
Krt75,3.085688487375806e-8,0,2
Krt76,6.122970461840299e-8,0,3
Krt77,6.122970461840299e-8,0,4
Krt78,4.6860658315307125e-7,0,123
Krt79,4.831548661114648e-5,0,19519
Krt8,4.582698363730673e-6,0,1756
Krt80,3.5657553243235486e-5,0,12061
Krt81,3.085688487375806e-8,0,1
Krt82,3.085688487375806e-8,0,0
Krt83,7.262356919500995e-6,0,2362
Krt84,0,0,0
Krt86,4.6860658315307125e-7,0,68
Krt87,6.122970461840299e-8,0,8
Krt88,6.122970461840299e-8,0,6
Krt9,3.085688487375806e-8,0,2
Krt90,3.0372819744644937e-8,0,1
Krtap1-3,0,0,0
Krtap1-4,0,0,0
Krtap1-5,0,0,0
Krtap10-10,0,0,0
Krtap10-4,0,0,0
Krtap11-1,0,0,0
Krtap12-1,0,0,0
Krtap13,0,0,0
Krtap13-1,0,0,0
Krtap14,0,0,0
Krtap15,0,0,0
Krtap16-1,0,0,0
Krtap16-3,0,0,0
Krtap17-1,6.122970461840299e-8,0,53
Krtap19-1,0,0,0
Krtap19-2,0,0,0
Krtap19-3,0,0,0
Krtap19-4,0,0,0
Krtap19-5,0,0,0
Krtap19-9b,0,0,0
Krtap2-4,0,0,0
Krtap20-2,0,0,0
Krtap21-1,0,0,0
Krtap22-2,0,0,0
Krtap24-1,0,0,0
Krtap26-1,0,0,0
Krtap27-1,0,0,0
Krtap28-10,0,0,0
Krtap28-13,3.085688487375806e-8,0,2
Krtap29-1,0,0,0
Krtap3-1,0,0,0
Krtap3-2,0,0,0
Krtap3-3,0,0,0
Krtap31-1,0,0,0
Krtap31-2,0,0,0
Krtap4-1,0,0,0
Krtap4-13,0,0,0
Krtap4-16,0,0,0
Krtap4-2,0,0,0
Krtap4-6,0,0,0
Krtap4-7,0,0,0
Krtap4-8,0,0,0
Krtap4-9,0,0,0
Krtap5-1,0,0,0
Krtap5-2,0,0,0
Krtap5-3,0,0,0
Krtap5-4,0,0,0
Krtap5-5,0,0,0
Krtap6-1,0,0,0
Krtap6-2,0,0,0
Krtap6-3,0,0,0
Krtap6-5,0,0,0
Krtap7-1,3.0372819744644937e-8,0,2
Krtap8-1,0,0,0
Krtap9-1,3.085688487375806e-8,0,1
Krtap9-3,0,0,0
Krtap9-5,0,0,0
Krtcap2,2.7663934908068685e-4,0,96402
Krtcap3,6.370622736687431e-6,0,1901
Krtdap,3.727652180832514e-7,0,42
Ksr1,6.4587649525750395e-6,0,2318
Ksr2,1.268890469459141e-6,0,588
Kti12,1.9546174014159763e-5,0,6552
Ktn1,5.669461593893788e-5,0,21139
Kxd1,7.386510414669859e-5,0,25448
Ky,1.1222157884610816e-7,0,25
Kyat1,2.265949266037336e-6,0,681
Kyat3,3.897238652099194e-6,0,1306
Kynu,1.917367425961669e-5,0,7345
L1cam,9.518786628358369e-6,0,4167
L1td1,3.231387569122056e-7,0,246
L2hgdh,2.8411184062991897e-6,0,777
L3hypdh,1.4253668226362866e-6,0,359
L3mbtl1,4.0348228095366256e-7,0,17
L3mbtl2,8.492178395858818e-6,0,3377
L3mbtl3,1.9450774178740854e-5,0,6919
L3mbtl4,1.282678528885443e-7,0,1
Lacc1,2.0006980536639488e-5,0,7422
Lactb,3.346406569008299e-5,0,14555
Lactb2,1.679913165648118e-5,0,5641
Lactbl1,1.7925972711624947e-7,0,63
Lad1,1.282678528885443e-7,0,148
Lag3,1.1832032846371247e-5,0,4089
Lage3,4.127219177782273e-5,0,13736
Lair1,8.294514834217138e-5,0,35145
Lalba,1.7925972711624947e-7,0,106
Lama1,1.1222157884610816e-7,0,83
Lama2,1.5389356075650486e-6,0,612
Lama3,4.8648066576831e-7,0,104
Lama4,5.971302138520559e-6,0,1979
Lama5,5.099411381938371e-6,0,1617
Lamb1,3.451885400614814e-6,0,1184
Lamb2,7.404393464246453e-6,0,2382
Lamb3,1.2388183943425493e-5,0,5108
Lamc1,1.1841672391529735e-5,0,4581
Lamc2,9.098780029114893e-7,0,225
Lamc3,2.0942330922714696e-7,0,87
Lamp1,4.16782527113938e-4,0,170778
Lamp2,1.488975168826477e-4,0,57142
Lamp3,1.3017939412761337e-5,0,5008
Lamp5,3.085688487375806e-8,0,2
Lamtor1,1.0838414416570399e-4,0,41277
Lamtor2,1.7779035666864177e-4,0,67276
Lamtor3,6.595384578946724e-5,0,20854
Lamtor4,1.6141666734698315e-4,0,54479
Lamtor5,1.1685614727533024e-4,0,40138
Lancl1,1.3588844479690646e-5,0,4078
Lancl2,4.482322403666783e-6,0,1601
Lancl3,5.704201093741578e-7,0,200
Lao1,3.085688487375806e-8,0,1
Lap3,5.909677586875816e-5,0,22062
Laptm4a,1.9857225605718375e-4,0,75583
Laptm4b,6.627855754908687e-6,0,2915
Laptm5,6.421630551291468e-4,0,273201
Large1,5.6700481609896345e-6,0,2364
Large2,1.7925972711624947e-7,0,58
Larp1,6.350046633332059e-5,0,23529
Larp1b,1.591460569073877e-5,0,6210
Larp4,4.526428942358253e-5,0,18311
Larp4b,7.560482909528866e-5,0,29349
Larp6,1.282678528885443e-7,0,68
Larp7,2.6297991384975973e-5,0,9285
Lars,3.105488627332001e-5,0,13777
Lars2,1.4828681159000725e-4,0,26432
Las1l,3.1199536373982966e-5,0,9536
Lasp1,7.379599768751002e-5,0,24195
Lat,1.3863906046728482e-4,0,44065
Lat2,6.0336600539507364e-5,0,18601
Lats1,1.8215529036661878e-5,0,5900
Lats2,3.200795731974717e-5,0,11310
Lax1,3.267487378962371e-5,0,9449
Layn,1.823981653229344e-6,0,934
Lbh,9.648973001478151e-5,0,28299
Lbhd1,1.5534319469513064e-6,0,430
Lbhd2,4.993236460234823e-7,0,183
Lbp,7.374973057238047e-6,0,2926
Lbr,6.572281359933236e-5,0,22604
Lbx1,6.122970461840299e-8,0,2
Lbx2,1.7240742277371253e-6,0,585
Lca5,2.867121389557406e-6,0,1263
Lca5l,6.122970461840299e-8,0,87
Lcat,1.7925972711624947e-7,0,96
Lce1a1,3.0372819744644937e-8,0,5
Lce1a2,0,0,0
Lce1b,3.0372819744644937e-8,0,1
Lce1c,3.0372819744644937e-8,0,1
Lce1d,0,0,0
Lce1e,0,0,0
Lce1f,3.0372819744644937e-8,0,1
Lce1g,0,0,0
Lce1h,0,0,0
Lce1i,0,0,0
Lce1j,0,0,0
Lce1k,0,0,0
Lce1l,3.085688487375806e-8,0,1
Lce1m,0,0,0
Lce3a,2.0942330922714696e-7,0,2
Lce3b,3.0372819744644937e-8,0,1
Lce3c,8.13646939723501e-8,0,0
Lce3d,3.085688487375806e-8,0,0
Lce3e,6.122970461840299e-8,0,1
Lce3f,8.13646939723501e-8,0,1
Lce6a,0,0,0
Lck,1.2294448639866518e-4,0,43419
Lclat1,6.715972673441573e-6,0,2199
Lcmt1,1.8316012061569424e-5,0,6719
Lcmt2,6.228504450154902e-6,0,2352
Lcn10,3.0372819744644937e-8,0,0
Lcn11,9.789503314389937e-8,0,0
Lcn12,3.085688487375806e-8,0,1
Lcn2,2.872955073225535e-5,0,11686
Lcn3,0,0,0
Lcn4,6.8997678491370255e-6,0,1745
Lcn5,0,0,0
Lcn6,3.0372819744644937e-8,0,2
Lcn8,0,0,0
Lcn9,0,0,0
Lcor,2.3930460246033602e-5,0,10241
Lcorl,2.50972467808999e-5,0,9955
Lcp1,4.766812076831026e-4,0,184885
Lcp2,1.0940827106622457e-4,0,37349
Lct,6.122970461840299e-8,0,12
Lctl,3.085688487375806e-8,0,1
Ldah,2.7327205950766824e-5,0,10248
Ldb1,3.530681439170043e-5,0,12144
